datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-03-10,B_QG8888,1163.42,45484036965.0,2280987,65777597610.77,-27.01,-19.74,-7.27,Green Bar,1195.462,-0.02220466617360306,-1.3804394452389395,-1.542880155597639,-1.6864984104420784,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.023255813953488372
2025-03-11,B_QG8888,1170.04,36252263130.0,2229980,64988181674.04,-28.61,-21.51,-7.1,Shrinking Green Bar,1185.476,0.005690120506781637,1.3173023244124438,1.0630011241305954,1.0667847125802692,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.045454545454545456
2025-03-12,B_QG8888,1164.03,40575652535.0,2256457,65546478481.34,-30.02,-23.21,-6.8,Shrinking Green Bar,1178.1280000000002,-0.005136576527298153,0.1016833941207713,-0.05518014343791066,0.027123069596096464,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.044444444444444446
2025-03-13,B_QG8888,1165.76,48873447800.0,2265363,65846374652.76,-30.64,-24.7,-5.94,Shrinking Green Bar,1170.618,0.001486215990996742,0.7896242631771375,0.6910319305828695,0.6248819668888725,,0.5,0.2727272727272727,0.13043478260869565,0.06521739130434782
2025-03-14,B_QG8888,1176.91,43560187640.0,2238217,65424521913.79,-29.89,-25.74,-4.15,Shrinking Green Bar,1168.032,0.009564575898984407,1.0467608031204159,1.4677962762790504,1.305017985764645,,0.8333333333333334,0.45454545454545453,0.21739130434782608,0.10638297872340426
2025-03-17,B_QG8888,1181.35,53918924970.0,2273427,66438996804.84,-28.61,-26.31,-2.3,Shrinking Green Bar,1171.618,0.00377259093728477,0.14267702492809453,0.7129395153980137,0.7026335831034373,,0.8333333333333334,0.5454545454545454,0.2608695652173913,0.125
2025-03-18,B_QG8888,1169.3,59448041500.0,2329039,67402947102.01,-28.24,-26.7,-1.54,Shrinking Green Bar,1171.4699999999998,-0.010200194692512765,-1.4626463579592088,-0.6120196607839771,-0.7768373315025872,,0.5,0.36363636363636365,0.17391304347826086,0.08163265306122448
2025-03-19,B_QG8888,1182.44,51228818800.0,2322999,67896163406.28,-26.58,-26.68,0.09,Golden Cross,1175.152,0.011237492516890546,1.0628232848363266,1.2738883992800378,1.4511975139078577,,0.8333333333333334,0.7272727272727273,0.34782608695652173,0.16
2025-03-20,B_QG8888,1183.7,46072307205.0,2316004,67109201037.0,-24.88,-26.32,1.44,Red Bar,1178.74,0.0010655931802037166,-0.26578798326049663,0.2669315939024422,0.41077521580426746,,0.8333333333333334,0.8181818181818182,0.391304347826087,0.17647058823529413
2025-03-21,B_QG8888,1173.94,50995885610.0,2361616,68364956690.71,-24.04,-25.86,1.82,Red Bar,1178.146,-0.008245332432204044,-0.9829210824367569,-0.7157678034339398,-0.5488918778559356,,0.3333333333333333,0.5454545454545454,0.2608695652173913,0.11538461538461539
