datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-03-03,B_HG8888,2726.39,355553782010.0,8998667,363726299703.38,-3.46,1.93,-5.39,Shrinking Green Bar,2699.9900000000002,0.00120450514301651,0.026875203475382144,0.0949099552642533,0.21005195537714705,,0.8333333333333334,0.9090909090909091,0.5652173913043478,0.5263157894736842
2025-03-04,B_HG8888,2701.93,357270166475.0,9277297,368728049579.74,-4.29,0.69,-4.98,Shrinking Green Bar,2703.3039999999996,-0.008971570464973877,-1.2605237577733168,-1.1475164401967748,-0.8199477137531692,,0.5,0.36363636363636365,0.21739130434782608,0.3076923076923077
2025-03-05,B_HG8888,2663.44,377920836415.0,9484320,370518515546.76,-7.96,-1.04,-6.92,Green Bar,2702.42,-0.014245372752069718,-1.3995426213807822,-1.5204694772109029,-1.2386563448345311,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.15
2025-03-06,B_HG8888,2665.8,390647836840.0,9536708,371062038138.46,-10.56,-2.95,-7.62,Green Bar,2696.1339999999996,0.0008860721472983002,0.38094531643598817,0.3760129410485841,0.33587336775190735,,0.3333333333333333,0.18181818181818182,0.08695652173913043,0.17073170731707318
2025-03-07,B_HG8888,2643.29,320198551870.0,9675593,372495803464.27,-14.27,-5.21,-9.06,Green Bar,2680.17,-0.008443994298147017,-0.419243607391222,-0.7370984833170064,-0.6624120105994743,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.09523809523809523
2025-03-10,B_HG8888,2615.19,357587174450.0,9755729,376428715264.37,-19.26,-8.02,-11.24,Green Bar,2657.93,-0.010630691297587425,-0.46872981134658387,-0.833660287362873,-0.8519361019360427,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.023255813953488372
2025-03-11,B_HG8888,2604.12,305376995450.0,9873114,377302738360.47,-23.83,-11.18,-12.65,Green Bar,2638.368,-0.004232962040998989,0.5921909445344229,-0.1484529044213795,-0.14629520454635817,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.022727272727272728
2025-03-12,B_HG8888,2591.65,349615251340.0,10246938,384854229735.24,-28.14,-14.57,-13.56,Green Bar,2624.0099999999998,-0.00478856581109921,0.16558724172687678,-0.24042895788340654,-0.16158047563906086,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.022222222222222223
2025-03-13,B_HG8888,2591.41,322360677765.0,10154266,382834355970.84,-31.21,-17.9,-13.31,Shrinking Green Bar,2609.132,-9.260509713893139e-05,1.5233993064365021,0.5814693439619399,0.2602037572967804,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.021739130434782608
2025-03-14,B_HG8888,2611.21,285440526470.0,9963917,378799944952.64,-31.68,-20.66,-11.02,Shrinking Green Bar,2602.716,0.007640628075063383,1.6633574596242406,1.8775480147952304,1.1444811821363374,,0.6666666666666666,0.36363636363636365,0.17391304347826086,0.0851063829787234
